soak setup complete at 2026-06-07T04:24:09Z
soak run starting at 2026-06-07T04:24:09Z
duration=72h rps=250 producers=4 payload=256
loadgen running as PID 3734
snapshot recorded at 2026-06-07T04:33:20Z (readyz=200)
snapshot recorded at 2026-06-07T05:03:23Z (readyz=200)
snapshot recorded at 2026-06-07T05:33:23Z (readyz=200)
snapshot recorded at 2026-06-07T06:03:23Z (readyz=200)
snapshot recorded at 2026-06-07T06:33:23Z (readyz=200)
snapshot recorded at 2026-06-07T07:03:38Z (readyz=200)
snapshot recorded at 2026-06-07T07:33:38Z (readyz=200)
snapshot recorded at 2026-06-07T08:03:38Z (readyz=200)
snapshot recorded at 2026-06-07T08:33:53Z (readyz=200)
snapshot recorded at 2026-06-07T09:03:53Z (readyz=200)
snapshot recorded at 2026-06-07T09:33:53Z (readyz=200)
snapshot recorded at 2026-06-07T10:03:54Z (readyz=200)
snapshot recorded at 2026-06-07T10:34:08Z (readyz=200)
snapshot recorded at 2026-06-07T11:04:08Z (readyz=200)
snapshot recorded at 2026-06-07T11:34:08Z (readyz=200)
snapshot recorded at 2026-06-07T12:04:08Z (readyz=200)
snapshot recorded at 2026-06-07T12:34:09Z (readyz=200)
snapshot recorded at 2026-06-07T13:04:23Z (readyz=200)
snapshot recorded at 2026-06-07T13:34:23Z (readyz=200)
snapshot recorded at 2026-06-07T14:04:38Z (readyz=200)
snapshot recorded at 2026-06-07T14:34:38Z (readyz=200)
snapshot recorded at 2026-06-07T15:04:53Z (readyz=200)
snapshot recorded at 2026-06-07T15:34:53Z (readyz=200)
snapshot recorded at 2026-06-07T16:05:08Z (readyz=200)
snapshot recorded at 2026-06-07T16:35:08Z (readyz=200)
snapshot recorded at 2026-06-07T17:05:23Z (readyz=200)
snapshot recorded at 2026-06-07T17:35:23Z (readyz=200)
snapshot recorded at 2026-06-07T18:05:38Z (readyz=200)
snapshot recorded at 2026-06-07T18:35:38Z (readyz=200)
snapshot recorded at 2026-06-07T19:05:50Z (readyz=200)
snapshot recorded at 2026-06-07T19:35:50Z (readyz=200)
snapshot recorded at 2026-06-07T20:05:53Z (readyz=200)
snapshot recorded at 2026-06-07T20:35:53Z (readyz=200)
snapshot recorded at 2026-06-07T21:06:08Z (readyz=200)
snapshot recorded at 2026-06-07T21:36:09Z (readyz=200)
snapshot recorded at 2026-06-07T22:06:23Z (readyz=200)
snapshot recorded at 2026-06-07T22:36:23Z (readyz=200)
snapshot recorded at 2026-06-07T23:06:38Z (readyz=200)
snapshot recorded at 2026-06-07T23:36:38Z (readyz=200)
snapshot recorded at 2026-06-08T00:06:38Z (readyz=200)
snapshot recorded at 2026-06-08T00:36:53Z (readyz=200)
snapshot recorded at 2026-06-08T01:06:55Z (readyz=200)
snapshot recorded at 2026-06-08T01:37:08Z (readyz=200)
snapshot recorded at 2026-06-08T02:37:23Z (readyz=200)
snapshot recorded at 2026-06-08T03:07:23Z (readyz=200)
snapshot recorded at 2026-06-08T03:37:39Z (readyz=200)
snapshot recorded at 2026-06-08T04:08:09Z (readyz=200)
snapshot recorded at 2026-06-10T07:38:08Z (readyz=200)
snapshot recorded at 2026-06-10T08:08:08Z (readyz=200)
snapshot recorded at 2026-06-10T08:38:08Z (readyz=200)
snapshot recorded at 2026-06-10T10:48:53Z (readyz=200)
snapshot recorded at 2026-06-10T11:18:53Z (readyz=200)
snapshot recorded at 2026-06-10T11:48:53Z (readyz=200)
snapshot recorded at 2026-06-10T12:56:38Z (readyz=200)
snapshot recorded at 2026-06-10T13:26:38Z (readyz=200)
snapshot recorded at 2026-06-10T13:56:38Z (readyz=200)
