soak setup complete at 2026-06-02T02:57:30Z
soak run starting at 2026-06-02T02:57:30Z
duration=72h rps=500 producers=16 payload=256
loadgen running as PID 3598
snapshot recorded at 2026-06-02T03:06:52Z (readyz=200)
snapshot recorded at 2026-06-02T03:36:53Z (readyz=200)
snapshot recorded at 2026-06-02T04:06:53Z (readyz=200)
snapshot recorded at 2026-06-02T04:36:53Z (readyz=200)
snapshot recorded at 2026-06-02T05:06:53Z (readyz=200)
snapshot recorded at 2026-06-02T05:37:08Z (readyz=200)
snapshot recorded at 2026-06-02T06:07:08Z (readyz=200)
snapshot recorded at 2026-06-02T06:37:08Z (readyz=200)
snapshot recorded at 2026-06-02T07:07:23Z (readyz=200)
snapshot recorded at 2026-06-02T07:37:38Z (readyz=200)
snapshot recorded at 2026-06-02T08:37:38Z (readyz=200)
snapshot recorded at 2026-06-02T09:07:38Z (readyz=200)
snapshot recorded at 2026-06-02T09:37:53Z (readyz=200)
snapshot recorded at 2026-06-02T10:07:53Z (readyz=200)
snapshot recorded at 2026-06-02T10:38:08Z (readyz=200)
snapshot recorded at 2026-06-02T11:08:08Z (readyz=200)
snapshot recorded at 2026-06-02T11:38:23Z (readyz=200)
snapshot recorded at 2026-06-02T12:08:23Z (readyz=200)
snapshot recorded at 2026-06-02T12:38:23Z (readyz=200)
snapshot recorded at 2026-06-02T13:08:23Z (readyz=200)
snapshot recorded at 2026-06-02T13:38:38Z (readyz=200)
snapshot recorded at 2026-06-02T14:08:38Z (readyz=200)
snapshot recorded at 2026-06-02T14:38:53Z (readyz=200)
snapshot recorded at 2026-06-02T15:08:53Z (readyz=200)
snapshot recorded at 2026-06-02T15:40:38Z (readyz=200)
snapshot recorded at 2026-06-02T16:10:38Z (readyz=200)
snapshot recorded at 2026-06-02T16:41:07Z (readyz=200)
snapshot recorded at 2026-06-02T17:11:08Z (readyz=200)
snapshot recorded at 2026-06-02T17:41:08Z (readyz=200)
snapshot recorded at 2026-06-02T18:12:00Z (readyz=200)
snapshot recorded at 2026-06-02T18:42:08Z (readyz=200)
snapshot recorded at 2026-06-02T19:15:12Z (readyz=200)
snapshot recorded at 2026-06-02T21:27:53Z (readyz=200)
snapshot recorded at 2026-06-02T21:58:41Z (readyz=200)
snapshot recorded at 2026-06-02T23:10:10Z (readyz=200)
snapshot recorded at 2026-06-02T23:40:23Z (readyz=200)
snapshot recorded at 2026-06-03T01:14:49Z (readyz=200)
snapshot recorded at 2026-06-03T01:45:47Z (readyz=200)
snapshot recorded at 2026-06-03T05:07:23Z (readyz=200)
snapshot recorded at 2026-06-03T06:07:23Z (readyz=200)
snapshot recorded at 2026-06-03T06:37:38Z (readyz=200)
snapshot recorded at 2026-06-03T08:38:38Z (readyz=200)
snapshot recorded at 2026-06-03T09:08:38Z (readyz=200)
snapshot recorded at 2026-06-03T10:08:54Z (readyz=200)
snapshot recorded at 2026-06-03T10:38:53Z (readyz=200)
snapshot recorded at 2026-06-03T11:17:22Z (readyz=200)
snapshot recorded at 2026-06-03T11:47:16Z (readyz=200)
snapshot recorded at 2026-06-03T13:14:53Z (readyz=200)
snapshot recorded at 2026-06-03T13:46:26Z (readyz=200)
snapshot recorded at 2026-06-03T15:16:06Z (readyz=200)
snapshot recorded at 2026-06-03T16:59:03Z (readyz=200)
snapshot recorded at 2026-06-03T17:29:08Z (readyz=200)
snapshot recorded at 2026-06-03T17:59:52Z (readyz=200)
snapshot recorded at 2026-06-03T19:40:23Z (readyz=200)
snapshot recorded at 2026-06-03T20:10:23Z (readyz=200)
snapshot recorded at 2026-06-03T22:21:55Z (readyz=200)
snapshot recorded at 2026-06-03T22:52:08Z (readyz=200)
snapshot recorded at 2026-06-04T00:27:43Z (readyz=200)
snapshot recorded at 2026-06-04T01:27:53Z (readyz=200)
snapshot recorded at 2026-06-04T02:58:08Z (readyz=200)
snapshot recorded at 2026-06-04T03:28:08Z (readyz=200)
snapshot recorded at 2026-06-04T03:58:42Z (readyz=200)
snapshot recorded at 2026-06-04T05:57:08Z (readyz=200)
snapshot recorded at 2026-06-04T07:59:08Z (readyz=200)
snapshot recorded at 2026-06-04T09:29:23Z (readyz=200)
snapshot recorded at 2026-06-04T11:04:38Z (readyz=200)
snapshot recorded at 2026-06-04T12:04:53Z (readyz=200)
